Price,Make,Model,Reg-Year,Configuration,Mileage(Miles),EngSize(Litres),Power(BHP),Control,Fuel-Type,Owners
"11,500",Citroen,C3,2018,SUV,"30,718",1.2,82,Manual,Petrol,1
"1,544",Ford,Focus,2006,Hatchback,"81,000",1.6,113,Manual,Petrol,2
"1,495",Vauxhall,Astra,2010,Hatchback,"110,000",1.4,140,Manual,Petrol,2
995,Vauxhall,Astra,2010,Hatchback,"160,000",1.4,140,Manual,Petrol,11
"1,795",Renault,Clio,2011,Hatchback,"147,000",1.2,100,Manual,Petrol,1
"1,500",Vauxhall,Meriva,2010,MPV,"83,400",1.4,118,Manual,Petrol,4
995,Peugeot,207,2006,Hatchback,"83,000",1.4,90,Manual,Petrol,5
"1,990",MINI,Hatch,2006,Hatchback,"104,754",1.6,116,Manual,Petrol,2
"3,590",Vauxhall,Insignia,2010,Hatchback,"55,500",1.8,138,Manual,Petrol,ns
"2,375",Vauxhall,Astra,2007,Hatchback,"83,000",1.6,113,Manual,Petrol,5
"1,490",Ford,Focus,2007,Convertible,"49,000",2,143,Manual,Petrol,3
"11,500",Citroen,C3,2018,SUV,"30,718",1.2,82,Manual,Petrol,1
"14,100",Hyundai,Tucson,2016,SUV,"39,357",1.7,114,Manual,Diesel,2
"1,700",Fiat,Grande,2006,Hatchback,"68,000",1.2,65,Manual,Petrol,7
800,MINI,Hatch,2008,Hatchback,"104,000",1.4,95,Manual,Petrol,4
"1,950",Ford,Focus,2014,Hatchback,"83,000",1,123,Manual,Petrol,2
"1,795",Vauxhall,Corsa,2007,Hatchback,"77,000",1.2,79,Manual,Petrol,ns
695,Ford,Fiesta,2008,Hatchback,"101,000",1.25,74,Manual,Petrol,3
"2,000",Vauxhall,Astra,2006,Hatchback,"40,000",1.4,89,Manual,Petrol,2
"2,775",Vauxhall,Astra,2010,Hatchback,"91,000",1.4,89,Manual,Petrol,4
"1,195",Vauxhall,Corsa,2002,Hatchback,"75,800",1.2,74,Automatic,Petrol,4
"1,795",Ford,Fiesta,2009,Hatchback,"114,000",1.25,81,Manual,Petrol,6
"1,891",MINI,Hatch,2009,Hatchback,"100,000",1.4,95,Manual,Petrol,5
"2,000",Vauxhall,Astra,2006,Hatchback,"40,000",1.4,89,Manual,Petrol,2
"14,100",Hyundai,Tucson,2016,SUV,"39,357",1.7,114,Manual,Diesel,2
"17,250",Hyundai,Bayon,2021,SUV,"4,630",1,100,Manual,Petrol Hybrid,1
"1,800",Vauxhall,Zafira,2006,MPV,"81,800",2,197,Manual,Petrol,4
"2,300",Ford,Focus,2010,Hatchback,"106,182",1.8,123,Manual,Petrol,ns
"2,295",Renault,Clio,2009,Hatchback,"81,000",1.2,75,Manual,Petrol,ns
"1,990",Vauxhall,Insignia,2009,Saloon,"91,803",1.8,138,Manual,Petrol,3
"1,795",Ford,Fiesta,2007,Hatchback,"78,112",1.25,74,Manual,Petrol,4
"2,500",Mazda3,ns,2008,Hatchback,"74,827",1.4,83,Manual,Petrol,ns
799,Vauxhall,Corsa,2006,Hatchback,"90,095",1,59,Manual,Petrol,2
"2,995",MINI,Hatch,2008,Hatchback,"69,000",1.6,120,Manual,Petrol,3
"1,595",Mazda,MX-5,2005,Convertible,"230,608",2,158,Manual,Petrol,3
995,Vauxhall,Corsa,2011,Hatchback,"124,994",1.2,84,Manual,Petrol,4
"1,791",Vauxhall,Corsa,2007,Hatchback,"74,000",1.4,89,Manual,Petrol,3
"8,900",SEAT,Ibiza,2016,Hatchback,"31,100",1,74,Manual,Petrol,2
"12,300",Vauxhall,Insignia,2018,Hatchback,"62,521",1.6,134,Manual,Diesel,2
"1,550",Vauxhall,Corsa,2007,Hatchback,"65,371",1.2,79,Manual,Petrol,4
999,KIA,Picanto,2013,Hatchback,"69,000",1,68,Manual,Petrol,4
"1,094",Ford,Focus,2007,Hatchback,"169,000",1.8,123,Manual,Petrol,5
"1,791",Vauxhall,Corsa,2007,Hatchback,"74,000",1.4,89,Manual,Petrol,3
"5,494",Volvo,C30,2011,Coupe,"125,000",2.5,227,Manual,Petrol,ns
"1,275",Renault,Clio,2007,Hatchback,"97,000",1.2,100,Manual,Petrol,2
"1,990",Volkswagen,Polo,2005,Hatchback,"70,226",1.4,75,Manual,Petrol,3
"1,490",Ford,Focus,2007,Convertible,"49,000",2,143,Manual,Petrol,3
999,Saab,09-Mar,2005,Saloon,"179,736",2,210,Automatic,Petrol,1
"3,475",Vauxhall,Astra,2011,Hatchback,"63,000",1.6,113,Manual,Petrol,3
"1,094",Ford,Focus,2007,Hatchback,"169,000",1.8,123,Manual,Petrol,5
"14,100",Hyundai,Tucson,2016,SUV,"39,357",1.7,114,Manual,Diesel,2
"10,474",Peugeot,2008,2017,SUV,"74,804",1.6,99,Manual,Diesel,1
999,Ford,Fiesta,2003,Hatchback,"61,000",1.3,67,Manual,Petrol,3
750,Audi,A4,2005,Estate,"136,000",2,197,Manual,Petrol,4
"1,549",Peugeot,207,2006,Hatchback,"67,000",1.6,110,Manual,Petrol,4
"2,675",Vauxhall,Corsa,2008,Hatchback,"87,000",1.4,89,Manual,Petrol,6
"1,500",Renault,Megane,2009,Hatchback,"94,671",1.6,100,Manual,Petrol,ns
"1,995",Subaru,Impreza,2007,Hatchback,"106,000",2,158,Manual,Petrol,4
"3,995",Honda,Jazz,2008,Hatchback,"85,900",1.4,82,Automatic,Petrol,2
"5,000",Mercedes-Benz,SLK,2006,Convertible,"82,000",1.8,163,Automatic,Petrol,3
"1,790",Vauxhall,Corsa,2009,Hatchback,"70,000",1.2,79,Manual,Petrol,4
"1,295",Volkswagen,Golf,2007,Hatchback,"106,491",1.4,79,Manual,Petrol,9
"2,490",Vauxhall,Corsa,2008,Hatchback,"65,000",1.4,89,Manual,Petrol,5
"11,500",Citroen,C3,2018,SUV,"30,718",1.2,82,Manual,Petrol,1
"12,300",Vauxhall,Insignia,2018,Hatchback,"62,521",1.6,134,Manual,Diesel,2
"1,750",Peugeot,207,2008,Hatchback,"89,487",1.4,95,Manual,Petrol,6
"1,500",Peugeot,807,2007,MPV,"95,900",2,143,Automatic,Petrol,6
"3,995",Volkswagen,Golf,2009,Hatchback,"68,000",1.4,123,Manual,Petrol,2
"1,995",Volvo,C70,2007,Convertible,"130,850",2.5,220,Manual,Petrol,ns
"2,495",Mazda2,ns,2008,Hatchback,"87,000",1.3,74,Manual,Petrol,2
"2,490",Vauxhall,Corsa,2008,Hatchback,"65,000",1.4,89,Manual,Petrol,5
"3,295",BMW,3,2007,Saloon,"80,000",2,150,Manual,Petrol,2
"1,800",Toyota,Auris,2008,Hatchback,"124,196",1.6,124,Manual,Petrol,4
"1,595",Peugeot,107,2006,Hatchback,"96,000",1,67,Manual,Petrol,ns
995,Peugeot,206,2006,Hatchback,"38,000",1.4,75,Manual,Petrol,5
"2,000",Vauxhall,Astra,2006,Hatchback,"40,000",1.4,89,Manual,Petrol,2
"11,500",Citroen,C3,2018,SUV,"30,718",1.2,82,Manual,Petrol,1
"14,100",Hyundai,Tucson,2016,SUV,"39,357",1.7,114,Manual,Diesel,2
"1,750",Renault,Megane,2009,Coupe,"125,000",1.6,110,Manual,Petrol,2
"1,990",Nissan,Qashqai,2009,Hatchback,"142,725",1.6,113,Manual,Petrol,2
"2,750",Volkswagen,CC,2008,Saloon,"130,000",1.8,158,Manual,Petrol,8
888,Ford,Focus,2005,Hatchback,"105,000",1.6,99,Manual,Petrol,5
"1,095",Fiat,Panda,2008,Hatchback,"94,018",1.2,60,Manual,Petrol,4
